BreedName,MaleWtKg,AnnualExpense_Lower,Shedding,Vocality,FriendPets,FriendChild,GroomingReq,AttentionReq,Docility,ActivityLevel,indexExpense
Persian,6,1272,5,1,3,4,5,4,5,1,4
Maine Coon,7,1150,4,1,3,4,4,3,4,3,3
Ragdoll,7,2160,4,2,3,4,4,2,5,2,5
British Shorthair,7,1270,3,2,3,4,2,1,4,2,4
American Shorthair,6,1270,3,1,3,4,3,4,2,4,4
Abyssinian,4,1075,3,1,2,2,2,4,1,5,3
Siamese,6,1270,2,5,2,2,1,5,1,4,4
Scottish Fold,4,1270,3,1,2,3,3,3,4,2,4
Cornish Rex,3,300,2,1,1,2,1,5,1,5,1
Tonkinese,5,700,2,4,3,4,1,4,3,5,2
